,temperature
1115,284.41202
1116,284.9326
1117,285.32602
1118,285.44482
1119,285.5452
1120,285.447
1121,284.7274
1122,284.2417
1123,283.95917
1124,283.63953
1125,283.4061
1126,283.12906
1127,282.95895
1128,282.9506
1129,282.78513
1130,282.57825
1131,282.38266
1132,282.2355
1133,282.2405
1134,282.2797
1135,282.29892
1136,282.6216
1137,283.00473
1138,283.61917
1139,284.28296
1140,284.93356
1141,285.33505
1142,285.42627
1143,285.4828
1144,285.41245
1145,284.59952
1146,284.1343
1147,283.86023
1148,283.54617
1149,283.29492
1150,283.04077
1151,282.8894
1152,282.90796
1153,282.61264
1154,282.40704
1155,282.21417
1156,282.1375
1157,282.10693
1158,282.1054
1159,282.14105
1160,282.35162
1161,282.6593
1162,283.2785
1163,284.0108
1164,284.57526
1165,285.0083
1166,285.14392
1167,285.2717
1168,285.21127
1169,284.4748
1170,283.95712
1171,283.50195
1172,283.05124
1173,282.65903
1174,282.2744
1175,282.05774
1176,281.88083
1177,281.6372
1178,281.4586
1179,281.24857
1180,281.12878
1181,281.11606
1182,281.0708
1183,281.12082
1184,281.47806
1185,281.92108
1186,282.64893
1187,283.6673
1188,284.41595
1189,284.88858
1190,284.9728
1191,285.0549
1192,284.8878
1193,284.1214
1194,283.41324
1195,282.99252
1196,282.69193
1197,282.4934
1198,282.19003
1199,281.98862
1200,281.89444
1201,282.12595
1202,281.9466
1203,281.76657
1204,281.61087
1205,281.57538
1206,281.52716
1207,281.54742
1208,281.82254
1209,282.20752
1210,282.88837
1211,283.71362
1212,284.39124
1213,284.8613
1214,284.89932
1215,284.93558
1216,284.91592
1217,284.2869
1218,283.73257
1219,283.28894
1220,282.91928
1221,282.63818
1222,282.37134
1223,282.23163
1224,282.17252
1225,282.87665
1226,282.68042
1227,282.4191
1228,282.30328
1229,282.2678
1230,282.2622
1231,282.30188
1232,282.50076
1233,282.84555
1234,283.41068
1235,284.0923
1236,284.53864
1237,284.75372
1238,284.8549
1239,284.92642
1240,284.88757
1241,284.31073
1242,283.74042
1243,283.37906
1244,283.0873
1245,282.84567
1246,282.5863
1247,282.43
1248,282.43515
1249,283.46057
1250,283.26874
1251,283.01184
1252,282.95084
1253,282.92465
1254,282.90424
1255,282.984
1256,283.329
1257,283.72552
1258,284.36624
1259,285.11508
1260,285.61432
1261,285.9542
1262,285.96033
1263,286.029
1264,286.01352
1265,285.44666
1266,284.89966
1267,284.51416
1268,284.20065
1269,283.93967
1270,283.69345
1271,283.59763
1272,283.55356
1273,283.88037
1274,283.7104
1275,283.52914
1276,283.4437
1277,283.36792
1278,283.36868
1279,283.3985
1280,283.6926
1281,284.06012
1282,284.64786
1283,285.2197
1284,285.81558
1285,286.0708
1286,286.2596
1287,286.3691
1288,286.31625
1289,285.7051
1290,285.09326
1291,284.68088
1292,284.38144
1293,284.1888
1294,283.94598
1295,283.76828
1296,283.71478
1297,283.52524
1298,283.2808
1299,283.0499
1300,282.9636
1301,282.92883
1302,282.85925
1303,282.88556
1304,283.1692
1305,283.4819
1306,284.0888
1307,284.82858
1308,285.21185
1309,285.48553
1310,285.56848
1311,285.69418
1312,285.64206
1313,285.14697
1314,284.51547
1315,284.12524
1316,283.77292
1317,283.53357
1318,283.2069
1319,283.01068
1320,282.93484
1321,283.20743
1322,282.98532
1323,282.72137
1324,282.62897
1325,282.55347
1326,282.54175
1327,282.52722
1328,282.9297
1329,283.33774
1330,283.94073
1331,284.44464
1332,284.7883
1333,285.20312
1334,285.2796
1335,285.39224
1336,285.42563
1337,284.99115
1338,284.43222
1339,284.0569
1340,283.75107
1341,283.40515
1342,283.13785
1343,282.76913
1344,282.7246
1345,283.01038
1346,282.77222
1347,282.54398
1348,282.4165
1349,282.4655
1350,282.44415
1351,282.44714
1352,282.85498
1353,283.23618
1354,283.8702
1355,284.488
1356,284.9432
1357,285.4417
1358,285.61594
1359,285.69244
1360,285.6492
1361,285.12347
1362,284.58215
1363,284.1243
1364,283.717
1365,283.4472
1366,283.04895
1367,282.82373
1368,282.7698
1369,283.67047
1370,283.45404
1371,283.31927
1372,283.16037
1373,283.15488
1374,282.94434
1375,282.956
1376,283.33353
1377,283.74155
1378,284.38867
1379,285.05853
1380,285.5813
1381,286.03207
1382,285.93484
1383,286.00327
1384,285.8916
1385,285.24658
1386,284.70883
1387,284.25812
1388,283.7443
1389,283.38486
1390,283.07602
1391,282.88818
1392,282.8812
1393,283.7739
1394,283.67465
1395,283.5372
1396,283.4394
1397,283.45688
1398,283.51416
1399,283.61322
1400,283.86865
1401,284.2027
1402,284.8328
1403,285.69318
1404,286.29715
1405,286.82666
1406,286.92996
1407,287.075
1408,286.88263
1409,286.0238
1410,285.49594
1411,285.34354
1412,285.0402
1413,284.93744
1414,284.20016
1415,284.07263
1416,284.14795
1417,284.91293
1418,284.86667
1419,284.6949
1420,284.52332
1421,284.499
1422,284.55835
1423,284.56223
1424,284.78943
1425,285.11996
1426,285.71573
1427,286.1548
1428,286.50394
1429,286.93448
1430,287.0833
1431,287.20654
1432,287.06723
1433,286.34818
1434,286.11685
1435,285.8866
1436,285.45297
1437,285.22125
1438,285.39667
1439,285.26318
1440,285.24207
1441,284.25293
1442,284.15897
1443,284.0181
1444,283.91678
1445,283.95984
1446,283.88434
1447,283.91107
1448,284.1575
1449,284.49182
1450,285.14844
1451,285.7996
1452,286.15338
1453,286.79205
1454,286.88638
1455,286.9117
1456,286.86768
1457,286.0669
1458,285.64673
1459,285.13412
1460,284.71906
1461,284.47662
1462,284.23685
1463,284.07248
1464,283.9628
1465,278.5555
1466,278.39386
1467,278.09262
1468,277.98312
1469,277.94064
1470,277.84872
1471,277.847
1472,278.22037
1473,278.5812
1474,279.1608
1475,280.0266
1476,280.97348
1477,281.62283
1478,281.79477
1479,281.94168
1480,281.94672
1481,281.34097
1482,280.79614
1483,280.46103
1484,279.8708
1485,279.43622
1486,279.05487
1487,278.7845
1488,278.68915
1489,279.83673
1490,279.55252
1491,279.25906
1492,279.12292
1493,279.0328
1494,278.94675
1495,278.94928
1496,279.26086
1497,279.67828
1498,280.37573
1499,281.30972
1500,282.14526
1501,282.7667
1502,282.91245
1503,282.97256
1504,282.98718
1505,282.2358
1506,281.5758
1507,281.1398
1508,280.61606
1509,280.24927
1510,279.85663
1511,279.5807
1512,279.4159
1513,279.34177
1514,279.18253
1515,278.86444
1516,278.76175
1517,278.79626
1518,278.82797
1519,278.85287
1520,279.0692
1521,279.46878
1522,280.11536
1523,280.9726
1524,281.84427
1525,282.46524
1526,282.46216
1527,282.57028
1528,282.49542
1529,281.9226
1530,281.2973
1531,280.87405
1532,280.38376
1533,280.13583
1534,279.92685
1535,279.74475
1536,279.66238
1537,278.33896
1538,278.28406
1539,278.04434
1540,278.05478
1541,278.3185
1542,278.45264
1543,278.55508
1544,278.8459
1545,279.18704
1546,279.7061
1547,280.18546
1548,280.65512
1549,281.12918
1550,281.3401
1551,281.46
1552,281.55942
1553,281.16666
1554,280.84204
1555,280.50607
1556,280.13098
1557,279.93448
1558,279.68594
1559,279.55237
1560,279.56607
1561,277.51614
1562,277.38824
1563,277.12958
1564,277.031
1565,277.11395
1566,277.21146
1567,277.24277
1568,277.3737
1569,277.66226
1570,278.07477
1571,278.54376
1572,278.89246
1573,279.33743
1574,279.49344
1575,279.55402
1576,279.70328
1577,279.40103
1578,279.2416
1579,279.0142
1580,278.67416
1581,278.33704
1582,278.0998
1583,277.92258
1584,277.85608
1585,277.28043
1586,277.01135
1587,276.72485
1588,276.51575
1589,276.40662
1590,276.34598
1591,276.19357
1592,276.39
1593,276.50888
1594,276.96478
1595,277.63467
1596,278.0982
1597,278.5936
1598,278.64648
1599,278.6923
1600,278.72202
1601,278.1389
1602,277.79968
1603,277.45612
1604,276.93118
1605,276.54608
1606,276.06158
1607,275.743
1608,275.65784
1609,275.7715
1610,275.57895
1611,275.36417
1612,275.2806
1613,275.22546
1614,275.21307
1615,275.26633
1616,275.52213
1617,275.79495
1618,276.56064
1619,277.24255
1620,277.955
1621,278.58563
1622,278.666
1623,278.785
1624,278.82272
1625,278.22208
1626,277.69815
1627,277.2867
1628,276.77698
1629,276.42017
1630,276.05728
1631,275.8376
1632,275.71234
1633,275.98245
1634,275.68378
1635,275.4346
1636,275.36926
1637,275.41217
1638,275.43466
1639,275.3623
1640,275.6505
1641,275.96207
1642,276.64188
1643,277.48666
1644,278.22903
1645,278.8413
1646,279.0438
1647,279.16174
1648,279.19025
1649,278.68338
1650,278.3148
1651,277.95078
1652,277.40234
1653,277.07913
1654,276.7328
1655,276.53732
1656,276.45367
1657,277.23138
1658,276.97818
1659,276.70245
1660,276.76367
1661,276.77817
1662,276.78207
1663,276.75674
1664,277.02615
1665,277.41833
1666,278.04932
1667,278.8731
1668,279.52826
1669,279.9852
1670,280.02625
1671,280.09537
1672,280.1161
1673,279.83795
1674,279.49313
1675,279.12057
1676,278.62695
1677,278.23642
1678,277.8702
1679,277.6502
1680,277.70627
1681,277.22772
1682,277.0163
1683,276.74493
1684,276.7054
1685,276.7567
1686,276.79214
1687,276.7231
1688,276.9643
1689,277.1547
1690,277.66864
1691,278.3684
1692,278.88226
1693,279.35773
1694,279.48172
1695,279.4931
1696,279.5638
1697,279.17352
1698,278.92072
1699,278.6053
1700,278.2348
1701,277.91418
1702,277.57635
1703,277.33527
1704,277.24478
1705,276.90735
1706,276.65167
1707,276.42242
1708,276.2788
1709,276.2736
1710,276.25333
1711,276.21167
1712,276.54608
1713,276.9216
1714,277.49756
1715,278.17886
1716,278.82748
1717,279.3161
1718,279.35577
1719,279.3781
1720,279.40814
1721,279.00226
1722,278.63873
1723,278.28204
1724,277.8119
1725,277.5011
1726,277.21576
1727,276.9856
1728,276.89386
1729,276.37747
1730,276.18936
1731,275.98505
1732,275.89944
1733,275.84695
1734,275.86194
1735,275.79593
1736,276.0739
1737,276.44965
1738,277.03427
1739,277.72635
1740,278.4932
1741,279.0908
1742,279.2258
1743,279.31836
1744,279.30573
1745,278.84317
1746,278.45078
1747,278.24976
1748,277.82907
1749,277.56296
1750,277.31165
1751,277.19928
1752,277.09958
1753,276.96533
1754,276.6929
1755,276.4829
1756,276.38654
1757,276.44348
1758,276.49768
1759,276.46194
1760,276.73874
1761,277.07755
1762,277.63345
1763,278.2732
1764,278.9783
1765,279.68045
1766,279.86545
1767,280.04697
1768,280.01318
1769,279.43207
1770,279.11563
1771,279.08835
1772,278.83774
1773,278.58243
1774,278.1932
1775,278.00388
1776,277.90002
1777,277.14142
1778,277.00034
1779,276.72006
1780,276.63977
1781,276.5836
1782,276.4426
1783,276.41357
1784,276.7029
1785,277.0718
1786,277.4899
1787,278.21045
1788,279.03137
1789,279.74707
1790,280.00653
1791,280.15875
1792,280.12543
1793,279.43048
1794,278.98
1795,278.74167
1796,278.31052
1797,277.8824
1798,277.40335
1799,277.10544
1800,276.93817
1801,276.37158
1802,276.09024
1803,275.76633
1804,275.5695
1805,275.45584
1806,275.42157
1807,275.3485
1808,275.61627
1809,275.9852
1810,276.53577
1811,277.2438
1812,278.09637
1813,278.76144
1814,278.89157
1815,279.02963
1816,279.01596
1817,278.43228
1818,277.98444
1819,277.594
1820,277.10626
1821,276.84586
1822,276.54343
1823,276.39618
1824,276.35168
1825,276.74216
1826,276.46872
1827,276.20615
1828,276.08612
1829,276.1094
1830,276.1771
1831,276.05075
1832,276.14175
1833,276.41052
1834,276.82587
1835,277.61163
1836,278.39688
1837,279.0775
1838,279.2479
1839,279.3648
1840,279.33792
1841,278.73242
1842,278.22946
1843,277.89
1844,277.48227
1845,277.21967
1846,276.8951
1847,276.6837
1848,276.6381
1849,276.71732
1850,276.5045
1851,276.2557
1852,276.13034
1853,276.09216
1854,276.08005
1855,276.02344
1856,276.18198
1857,276.42233
1858,276.90674
1859,277.74893
1860,278.57028
1861,279.24286
1862,279.30002
1863,279.36597
1864,279.33932
1865,278.85803
1866,278.3216
1867,278.0602
1868,277.64368
1869,277.31354
1870,276.94275
1871,276.66165
1872,276.56815
1873,276.04697
1874,275.7769
1875,275.40964
1876,275.28702
1877,275.2648
1878,275.2408
1879,275.22183
